Leader,Follower,Cat_Leader,Cat_Follower,Best_AbsCorr,Lead_Days,Lag_Gain,Intra_Inter,Lag_Significant,Score_Lag,Granger_Significant,Score_Granger,VAR_Confirmed,Score_VAR,Score_Final,N_Methods,Robustesse
RUSSELL2000,GBPUSD,Indices,FX_G10,0.2478,1,0.2276,Inter,True,0.34129768831924323,True,1.0,False,0.0,0.4694541909117351,2,Modérée
RX_BUND,USDJPY,Bonds,FX_G10,0.2653,1,0.1932,Inter,True,0.34018366901926556,True,1.0,False,0.0,0.4690642841567429,2,Modérée
VIX,NZDUSD,Indices,FX_G10,0.2429,1,0.2347,Inter,True,0.33927112377250623,True,1.0,False,0.0,0.46874489332037717,2,Modérée
EUROSTOXX50,USDCAD,Indices,FX_G10,0.2675,1,0.1875,Inter,True,0.33877331049471837,True,1.0,False,0.0,0.4685706586731514,2,Modérée
SILVER,EURUSD,Commodites,FX_G10,0.2498,1,0.2194,Inter,True,0.33722802925684925,True,1.0,False,0.0,0.4680298102398972,2,Modérée
SP500,GBPUSD,Indices,FX_G10,0.2448,1,0.2262,Inter,True,0.33474920995982793,True,1.0,False,0.0,0.4671622234859397,2,Modérée
WTI_CRUDE,AUDJPY,Commodites,FX_G10,0.2425,1,0.228,Inter,True,0.33238244650556364,True,1.0,False,0.0,0.46633385627694723,2,Modérée
ZINC,AUDUSD,Commodites,FX_G10,0.2725,1,0.1635,Inter,True,0.3253666530332209,True,1.0,False,0.0,0.46387832856162725,2,Modérée
PLATINUM,EURUSD,Commodites,FX_G10,0.2486,1,0.2055,Inter,True,0.3222881576829295,True,1.0,False,0.0,0.4628008551890253,2,Modérée
SILVER,GBPUSD,Commodites,FX_G10,0.2469,1,0.2048,Inter,True,0.3186635535407413,True,1.0,False,0.0,0.4615322437392594,2,Modérée
NASDAQ100,ASX200,Indices,Indices,0.3082,1,0.0868,Intra,True,0.31706865538379086,True,1.0,False,0.0,0.46097402938432674,2,Modérée
SP500,ASX200,Indices,Indices,0.3286,1,0.0411,Intra,True,0.3105985392391283,True,1.0,False,0.0,0.4587094887336949,2,Modérée
VIX,EURJPY,Indices,FX_G10,0.23,1,0.2275,Inter,True,0.31002284923544754,True,1.0,False,0.0,0.4585079972324066,2,Modérée
DAX,USDCAD,Indices,FX_G10,0.2536,1,0.1767,Inter,True,0.30444834391672904,True,1.0,False,0.0,0.45655692037085516,2,Modérée
DOWJONES,GBPUSD,Indices,FX_G10,0.2334,1,0.2128,Inter,True,0.3024025124144664,True,1.0,False,0.0,0.45584087934506323,2,Modérée
COPPER,GBPUSD,Commodites,FX_G10,0.2441,1,0.1908,Inter,True,0.30082840484396134,True,1.0,False,0.0,0.45528994169538645,2,Modérée
RUSSELL2000,EURJPY,Indices,FX_G10,0.2267,1,0.2201,Inter,True,0.2974073780514326,True,1.0,False,0.0,0.45409258231800137,2,Modérée
GOLD,GBPUSD,Commodites,FX_G10,0.2323,1,0.1976,Inter,True,0.28643717682259673,True,1.0,False,0.0,0.45025301188790884,2,Modérée
NASDAQ100,USDSEK,Indices,FX_G10,0.2261,1,0.2032,Inter,True,0.2807478786745155,True,1.0,False,0.0,0.4482617575360804,2,Modérée
TY_US10Y,NZDUSD,Bonds,FX_G10,0.2168,1,0.2168,Inter,True,0.2770165174491553,True,1.0,False,0.0,0.44695578110720435,2,Modérée
RX_BUND,GBPJPY,Bonds,FX_G10,0.2226,1,0.2009,Inter,True,0.27249227110176666,True,1.0,False,0.0,0.4453722948856183,2,Modérée
OAT_FRANCE,USDJPY,Bonds,FX_G10,0.237,1,0.1732,Inter,True,0.2721355422253195,True,1.0,False,0.0,0.4452474397788618,2,Modérée
NASDAQ100,USDNOK,Indices,FX_G10,0.223,1,0.1987,Inter,True,0.27116113772040584,True,1.0,False,0.0,0.444906398202142,2,Modérée
