Asset1,Asset2,Cat1,Cat2,Intra_Inter,Corr_Static,Mean_1M,Std_1M,Min_1M,Max_1M,Range_1M,Mean_3M,Std_3M,Min_3M,Max_3M,Range_3M,Mean_6M,Std_6M,Min_6M,Max_6M,Range_6M,AbsCorr_Static,Stability,Stability_empirique,Score_Corr,Score_Stab,Score_Total
SILVER,USDJPY,Commodites,FX_G10,Inter,-0.0169,-0.0262,0.2239,-0.7339,0.7012,1.4352,-0.0314,0.1353,-0.5425,0.3495,0.8919,-0.0286,0.0952,-0.3156,0.2579,0.5735,0.0169,Stable,Stable,0.03977406448576135,0.8357206803939122,0.3581527108490217
RX_BUND,WTI_CRUDE,Bonds,Commodites,Inter,-0.0849,-0.1265,0.263,-0.7249,0.7253,1.4502,-0.114,0.1893,-0.574,0.4974,1.0714,-0.1051,0.1369,-0.3735,0.3191,0.6926,0.0849,Moderate,Unstable,0.19981172040480114,0.5940017905102954,0.3574877484469989
EURCHF,DAX,FX_G10,Indices,Inter,0.0449,0.046,0.2421,-0.6455,0.8091,1.4546,0.0695,0.158,-0.34,0.5921,0.9322,0.0882,0.1209,-0.2879,0.4706,0.7586,0.0449,Moderate,Moderate,0.10567192280536597,0.7341092211280215,0.35704684213442817
EURJPY,SILVER,FX_G10,Commodites,Inter,0.0067,-0.0111,0.219,-0.6731,0.767,1.44,-0.0063,0.1281,-0.3633,0.3231,0.6863,-0.0046,0.0924,-0.2586,0.1827,0.4413,0.0067,Stable,Stable,0.01576841609790539,0.8679498657117278,0.3566409959434344
NAT_GAS,NIKKEI225,Commodites,Indices,Inter,0.0034,-0.0104,0.2269,-0.6698,0.7269,1.3967,-0.0044,0.1257,-0.3126,0.3991,0.7117,-0.0012,0.0883,-0.2001,0.2375,0.4376,0.0034,Stable,Stable,0.008001882795951988,0.878692927484333,0.3562783006713044
USDSEK,FTSE100,FX_G10,Indices,Inter,-0.0145,-0.0039,0.231,-0.7602,0.6353,1.3956,-0.0219,0.135,-0.4004,0.3335,0.7339,-0.0269,0.1037,-0.3343,0.2428,0.5771,0.0145,Stable,Stable,0.034125676629795244,0.8370635631154879,0.35530083122407236
PLATINUM,USDCHF,Commodites,FX_G10,Inter,-0.0257,-0.0389,0.2389,-0.7186,0.7236,1.4421,-0.0422,0.1439,-0.4551,0.4208,0.8759,-0.0414,0.101,-0.2469,0.2669,0.5138,0.0257,Stable,Moderate,0.06048481995763709,0.797224709042077,0.35518077559141303
AUDJPY,GOLD,FX_G10,Commodites,Inter,0.0148,-0.0033,0.2217,-0.6793,0.7468,1.4261,-0.0024,0.1355,-0.3851,0.372,0.7572,-0.0005,0.1096,-0.2913,0.2878,0.579,0.0148,Stable,Stable,0.03483172511179101,0.8348254252461951,0.3548292051655526
EURCHF,EUROSTOXX50,FX_G10,Indices,Inter,0.0434,0.0439,0.2403,-0.6097,0.8197,1.4294,0.0694,0.1581,-0.3375,0.5737,0.9112,0.0885,0.1178,-0.2749,0.448,0.7229,0.0434,Moderate,Moderate,0.10214168039538715,0.733661593554163,0.35474964565889755
TY_US10Y,USDJPY,Bonds,FX_G10,Inter,-0.0274,-0.0057,0.2325,-0.6974,0.7008,1.3982,-0.0263,0.1458,-0.513,0.3529,0.8659,-0.0345,0.1006,-0.3676,0.2271,0.5946,0.0274,Stable,Moderate,0.06448576135561308,0.7887197851387645,0.35417937086887363
NAT_GAS,USDCHF,Commodites,FX_G10,Inter,-0.0026,-0.0139,0.2297,-0.703,0.6409,1.3438,-0.0169,0.1263,-0.3074,0.3242,0.6316,-0.0175,0.0922,-0.2592,0.2272,0.4864,0.0026,Stable,Stable,0.006119086843963285,0.8760071620411818,0.35407431692285074
RX_BUND,GBPJPY,Bonds,FX_G10,Inter,-0.0217,-0.0219,0.2263,-0.6118,0.6066,1.2184,-0.0333,0.1414,-0.4392,0.2988,0.738,-0.035,0.103,-0.3305,0.1759,0.5064,0.0217,Stable,Stable,0.051070840197693576,0.8084153983885407,0.3540086634740324
