Date,Price,Open,High,Low,Vol.,Change %
06/28/2021,6558.02,6611.9902,6633.73,6556.8799,63.80M,-0.98%
06/29/2021,6567.4302,6564.0698,6599.8799,6561.0898,61.81M,0.14%
06/30/2021,6507.8301,6562.1699,6575.8398,6474.4302,88.78M,-0.91%
07/01/2021,6553.8198,6549.8198,6588.1401,6502.0498,69.79M,0.71%
07/02/2021,6552.8599,6572.0,6582.79,6540.1201,57.45M,-0.01%
07/05/2021,6567.54,6545.98,6582.8701,6520.3799,45.91M,0.22%
07/06/2021,6507.48,6551.0,6561.5098,6483.2002,72.35M,-0.91%
07/07/2021,6527.7202,6529.4902,6550.9502,6497.75,82.08M,0.31%
07/08/2021,6396.73,6479.3999,6483.3198,6348.6401,110.79M,-2.01%
07/09/2021,6529.4199,6435.29,6532.5601,6429.6699,84.93M,2.07%
07/12/2021,6559.25,6525.1099,6567.98,6479.54,61.86M,0.46%
07/13/2021,6558.4702,6561.7402,6569.3701,6536.4502,62.06M,-0.01%
07/14/2021,6558.3799,6533.7998,6565.2002,6530.9102,0,-0.0%
07/15/2021,6493.3599,6538.4102,6554.79,6471.0698,0,-0.99%
07/16/2021,6460.0801,6524.9502,6526.7598,6418.25,0,-0.51%
07/19/2021,6295.9702,6398.8398,6403.5098,6253.25,0,-2.54%
07/20/2021,6346.8501,6325.1602,6386.46,6304.8501,82.16M,0.81%
07/21/2021,6464.48,6382.3599,6471.6499,6381.9399,82.56M,1.85%
07/22/2021,6481.5898,6498.3101,6525.21,6474.0498,58.41M,0.26%
07/23/2021,6568.8198,6518.6001,6574.8599,6510.27,56.12M,1.35%
07/26/2021,6578.6001,6532.0098,6588.0898,6517.0498,0,0.15%
07/27/2021,6531.9199,6565.1899,6578.04,6516.5698,60.87M,-0.71%
07/28/2021,6609.3101,6547.4702,6609.3101,6530.7402,55.29M,1.18%
07/29/2021,6633.77,6647.0801,6671.1201,6633.77,94.99M,0.37%
07/30/2021,6612.7598,6608.1602,6648.2002,6596.9902,97.44M,-0.32%
08/02/2021,6675.8999,6657.9502,6690.7998,6639.3101,72.37M,0.95%
08/03/2021,6723.8101,6692.6001,6749.8799,6688.1201,76.01M,0.72%
08/04/2021,6746.23,6751.1499,6766.6099,6730.6001,68.21M,0.33%
08/05/2021,6781.1899,6750.8599,6788.6899,6750.8599,62.37M,0.52%
08/06/2021,6816.96,6772.4902,6832.9399,6763.0098,67.23M,0.53%
08/09/2021,6813.1802,6818.54,6832.77,6806.98,47.89M,-0.06%
08/10/2021,6820.21,6817.6299,6833.1201,6811.77,48.65M,0.1%
08/11/2021,6857.9902,6840.2798,6867.1099,6821.21,54.45M,0.55%
08/12/2021,6882.4702,6861.4399,6891.29,6854.9902,53.05M,0.36%
08/13/2021,6896.04,6888.48,6913.6699,6885.6401,49.87M,0.2%
08/16/2021,6838.77,6849.6802,6863.7402,6817.4302,49.72M,-0.83%
08/17/2021,6819.8398,6812.4199,6827.4902,6789.1099,56.25M,-0.28%
08/18/2021,6770.1099,6824.6401,6828.3301,6759.7402,55.66M,-0.73%
08/19/2021,6605.8901,6665.1201,6671.1699,6560.7402,96.57M,-2.43%
08/20/2021,6626.1099,6602.9502,6633.1899,6567.9302,66.76M,0.31%
08/23/2021,6683.1001,6699.3198,6699.3198,6657.1401,56.01M,0.86%
08/24/2021,6664.3101,6717.77,6717.77,6634.6899,48.96M,-0.28%
08/25/2021,6676.48,6683.1802,6684.21,6667.25,48.82M,0.18%
08/26/2021,6666.0298,6646.3701,6673.9399,6618.6899,50.80M,-0.16%
08/27/2021,6681.9199,6658.27,6682.1499,6644.6802,43.96M,0.24%
08/30/2021,6687.2998,6690.2798,6697.52,6675.3198,37.30M,0.08%
08/31/2021,6680.1802,6692.8501,6708.1401,6650.8999,96.78M,-0.11%
09/01/2021,6758.6899,6736.4399,6784.6602,6730.1699,75.87M,1.18%
09/02/2021,6763.0801,6753.1802,6778.3301,6747.1699,56.09M,0.06%
09/03/2021,6689.9902,6758.3799,6758.3799,6667.3901,63.29M,-1.08%
09/06/2021,6743.5,6704.3501,6756.3999,6700.4502,41.89M,0.8%
09/07/2021,6726.0698,6731.3599,6749.1401,6721.3501,48.02M,-0.26%
09/08/2021,6668.8901,6688.8398,6712.0498,6628.98,68.57M,-0.85%
09/09/2021,6684.7202,6618.8198,6708.3301,6605.0898,63.55M,0.24%
09/10/2021,6663.77,6707.3301,6722.73,6651.0601,70.64M,-0.31%
09/13/2021,6676.9302,6688.77,6722.0,6670.8501,61.57M,0.2%
09/14/2021,6652.9702,6672.1899,6677.0698,6613.52,63.63M,-0.36%
09/15/2021,6583.6201,6654.8301,6659.27,6577.02,81.90M,-1.04%
09/16/2021,6622.5898,6613.71,6663.4102,6612.1602,79.57M,0.59%
09/17/2021,6570.1899,6679.4502,6697.0801,6551.6201,214.03M,-0.79%
09/20/2021,6455.8101,6450.3901,6471.0898,6389.6201,120.07M,-1.74%
09/21/2021,6552.73,6513.75,6570.1299,6513.75,136.74M,1.5%
09/22/2021,6637.0,6612.1001,6642.3101,6595.9302,91.08M,1.29%
09/23/2021,6701.98,6691.0801,6718.7998,6667.3599,82.93M,0.98%
09/24/2021,6638.46,6675.73,6678.6499,6625.4302,70.09M,-0.95%
09/27/2021,6650.9102,6683.8501,6688.7598,6647.0801,89.45M,0.19%
09/28/2021,6506.5,6634.7202,6643.5801,6491.4199,117.80M,-2.17%
09/29/2021,6560.7998,6549.4102,6590.8101,6538.1099,86.06M,0.83%
09/30/2021,6520.0098,6615.9902,6621.75,6509.23,112.65M,-0.62%
