Leader,Follower,Cat_Leader,Cat_Follower,Intra_Inter,Best_Lag,Best_Pvalue,Best_Fstat,Significant,Pvals_by_lag,Frequency
DOWJONES,USDNOK,Indices,FX_G10,Inter,5,0.0,102.923,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,USDJPY,Indices,FX_G10,Inter,3,0.0,41.8677,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,USDCAD,Indices,FX_G10,Inter,2,0.0,266.3129,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,NZDUSD,Indices,FX_G10,Inter,3,0.0,103.0547,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,GBPUSD,Indices,FX_G10,Inter,3,0.0,67.038,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,GBPJPY,Indices,FX_G10,Inter,1,0.0,390.1651,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,EURUSD,Indices,FX_G10,Inter,2,0.0,18.1985,True,"{1: 0.0001, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,EURJPY,Indices,FX_G10,Inter,1,0.0,192.8584,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,EURGBP,Indices,FX_G10,Inter,3,0.0,41.9779,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,EURCHF,Indices,FX_G10,Inter,1,0.0,37.9995,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,WTI_CRUDE,Indices,Commodites,Inter,4,0.0,11.1102,True,"{1: 0.2244, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,AUDUSD,Indices,FX_G10,Inter,2,0.0,264.5021,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,AUDJPY,Indices,FX_G10,Inter,1,0.0,837.5747,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,LEAD,Indices,Commodites,Inter,2,0.0,26.4912,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DOWJONES,ZINC,Indices,Commodites,Inter,2,0.0,16.6073,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
ASX200,USDNOK,Indices,FX_G10,Inter,5,0.0,43.1686,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
ASX200,USDCAD,Indices,FX_G10,Inter,1,0.0,30.9264,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
ASX200,GBPUSD,Indices,FX_G10,Inter,3,0.0,12.5883,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
ASX200,GBPJPY,Indices,FX_G10,Inter,1,0.0,38.0825,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
CAC40,EURGBP,Indices,FX_G10,Inter,3,0.0,51.834,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
CAC40,EURJPY,Indices,FX_G10,Inter,1,0.0,90.342,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
CAC40,GBPJPY,Indices,FX_G10,Inter,1,0.0,282.3531,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
CAC40,GBPUSD,Indices,FX_G10,Inter,4,0.0,33.5838,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
DAX,NZDUSD,Indices,FX_G10,Inter,4,0.0,28.1543,True,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",Daily
