Leader,Follower,Optimal_Lag,Granger_P,Granger_Lag,Cross_Corr,Leadership_Score
ASX200,HANGSENG,0,0.0015872621391143757,3,0.3570321691614916,0.0
AUDUSD,USDNOK,0,0.0003189793277101882,3,-0.6467584582880036,0.0
TY_US10Y,OAT_FRANCE,0,1.0099124751886173e-12,1,0.4793021144260471,0.0
RX_BUND,TY_US10Y,0,0.00011589454807198314,1,0.5383260750856015,0.0
RX_BUND,G_GILT,0,1.446924026846061e-10,5,0.5727512899784614,0.0
RX_BUND,OAT_FRANCE,0,0.0015081547355365811,1,0.753517585375801,0.0
G_GILT,TY_US10Y,0,0.006308786418013802,3,0.5022770425185918,0.0
G_GILT,RX_BUND,0,0.0010423423713679786,5,0.5727512899784613,0.0
G_GILT,OAT_FRANCE,0,0.006564845957862951,5,0.529827890809486,0.0
OAT_FRANCE,TY_US10Y,0,0.0011258523772931363,1,0.47930211442604714,0.0
OAT_FRANCE,RX_BUND,0,0.011456204084611366,1,0.753517585375801,0.0
OAT_FRANCE,G_GILT,0,2.0998571455400148e-08,2,0.529827890809486,0.0
LEAD,ZINC,0,0.03837195620455756,1,0.48956555114625644,0.0
LEAD,COPPER,0,0.0037320365483281314,2,0.3548330309533917,0.0
AUDJPY,EURJPY,0,0.009609915706645343,1,0.6317352653571326,0.0
AUDJPY,USDNOK,0,0.0025317332562866013,3,-0.3465766577268541,0.0
AUDJPY,NIKKEI225,0,0.0003523344381996026,4,0.39263761955407545,0.0
AUDUSD,GBPUSD,0,6.910712018518352e-05,1,0.5298412784151348,0.0
AUDUSD,USDCHF,0,0.0003267464545644763,1,-0.3634034072542347,0.0
NZDUSD,GBPUSD,0,0.017858959400273742,1,0.5326325017303456,0.0
NZDUSD,USDCHF,0,0.0006234187530397983,1,-0.3863371269462933,0.0
NZDUSD,USDNOK,0,0.03308049119848575,5,-0.609333905309735,0.0
PLATINUM,GOLD,0,0.016134489919961467,4,0.5279176777455148,0.0
USDCHF,USDSEK,0,0.001131327112698809,5,0.5022823100739885,0.0
USDJPY,AUDJPY,0,0.035377747462213234,1,0.4897200895082661,0.0
USDJPY,EURJPY,0,0.0020500193019690636,1,0.5807821890715893,0.0
USDJPY,GBPJPY,0,0.020458933343389003,1,0.5316200028884555,0.0
USDJPY,NZDUSD,0,0.01739439678745388,4,-0.3513343948898967,0.0
USDNOK,AUDJPY,0,0.0010993693597808748,2,-0.34657665772685403,0.0
USDNOK,AUDUSD,0,0.0007241396131543213,3,-0.6467584582880036,0.0
USDNOK,GBPUSD,0,3.469113675455416e-06,1,-0.5217536104513968,0.0
USDNOK,NZDUSD,0,0.0002042101599712246,3,-0.609333905309735,0.0
USDNOK,USDCHF,0,0.007347972196259,2,0.4304571064125274,0.0
USDSEK,EURUSD,0,0.020777346128506513,1,-0.7655532307494379,0.0
USDSEK,GBPUSD,0,0.00010068378275475203,1,-0.5568760065944105,0.0
USDSEK,NZDUSD,0,0.00627342747312108,2,-0.5697464986676477,0.0
USDSEK,USDCHF,0,0.001545240181323636,1,0.5022823100739885,0.0
USDSEK,USDJPY,0,8.030966334827586e-06,2,0.3397352628969676,0.0
ASX200,CAC40,-1,3.5596130920782735e-05,4,0.34219385229807453,0.0
ASX200,FTSE100,-1,7.736223644569588e-06,4,0.34316036166348046,0.0
USDCHF,USDNOK,0,0.0016268760530091654,5,0.4304571064125274,0.0
USDCHF,USDJPY,0,0.004908239327740744,1,0.42368538563687713,0.0
