Asset1,Asset2,Cat1,Cat2,Intra_Inter,Corr_Lag0,Corr_Lag-5,Corr_Lag-4,Corr_Lag-3,Corr_Lag-2,Corr_Lag-1,Corr_Lag+1,Corr_Lag+2,Corr_Lag+3,Corr_Lag+4,Corr_Lag+5,Best_Lag,Best_Corr,Best_AbsCorr,Leader,Follower,Lead_Days,Lag_Gain
RX_BUND,GOLD,Bonds,Commodites,Inter,0.1944,-0.0158,0.0166,0.0308,0.0094,0.0194,-0.0064,0.0317,-0.0032,0.0101,-0.0029,0,0.1944,0.1944,Contemporain,Contemporain,0,0.0
RX_BUND,COPPER,Bonds,Commodites,Inter,-0.0852,-0.0044,0.0047,-0.0173,0.022,0.003,0.0186,0.0066,-0.0105,-0.0035,0.0277,0,-0.0852,0.0852,Contemporain,Contemporain,0,0.0
RX_BUND,NAT_GAS,Bonds,Commodites,Inter,-0.0183,-0.0317,-0.013,-0.0016,0.0113,-0.0556,0.0041,0.011,-0.0039,0.007,0.0123,-1,-0.0556,0.0556,NAT_GAS,RX_BUND,1,0.0373
RX_BUND,NZDUSD,Bonds,FX_G10,Inter,0.0407,-0.0294,-0.0088,0.0289,0.0246,-0.008,0.0713,-0.008,0.028,0.0136,0.0235,1,0.0713,0.0713,RX_BUND,NZDUSD,1,0.0306
RX_BUND,PLATINUM,Bonds,Commodites,Inter,0.0539,-0.0003,-0.0055,0.0329,0.0205,0.008,0.0053,0.0015,0.0251,-0.0229,0.0227,0,0.0539,0.0539,Contemporain,Contemporain,0,0.0
RX_BUND,SILVER,Bonds,Commodites,Inter,0.0978,-0.0082,-0.0012,0.0113,0.0291,0.0038,-0.0014,0.0244,0.0048,0.0142,0.0086,0,0.0978,0.0978,Contemporain,Contemporain,0,0.0
RX_BUND,USDCAD,Bonds,FX_G10,Inter,0.0037,0.009,0.0109,-0.0292,0.0139,-0.0404,0.0137,-0.0221,-0.008,-0.0075,-0.0188,-1,-0.0404,0.0404,USDCAD,RX_BUND,1,0.0367
RX_BUND,USDCHF,Bonds,FX_G10,Inter,-0.0461,-0.0201,-0.0077,0.0017,-0.0027,-0.0257,-0.0567,-0.018,-0.0074,0.0105,-0.0119,1,-0.0567,0.0567,RX_BUND,USDCHF,1,0.0106
RX_BUND,USDJPY,Bonds,FX_G10,Inter,-0.0721,-0.0072,0.0109,-0.0163,-0.032,-0.0163,-0.2653,-0.0141,-0.014,0.0049,-0.0084,1,-0.2653,0.2653,RX_BUND,USDJPY,1,0.1932
RX_BUND,USDNOK,Bonds,FX_G10,Inter,-0.0365,0.0096,0.007,0.0276,-0.0088,-0.0465,0.0903,0.019,-0.0631,0.0301,-0.0072,1,0.0903,0.0903,RX_BUND,USDNOK,1,0.0538
RX_BUND,USDSEK,Bonds,FX_G10,Inter,-0.0384,0.013,0.0169,0.0081,-0.0174,-0.0121,0.0597,-0.0109,-0.0143,0.0241,0.0091,1,0.0597,0.0597,RX_BUND,USDSEK,1,0.0213
RX_BUND,ASX200,Bonds,Indices,Inter,0.0032,0.0169,-0.004,0.0209,0.0538,0.0021,0.0301,0.0516,0.0624,0.0108,-0.0017,3,0.0624,0.0624,RX_BUND,ASX200,3,0.0592
RX_BUND,DOWJONES,Bonds,Indices,Inter,-0.0392,0.0124,0.013,0.0323,0.0666,0.0008,0.0284,0.0198,0.0345,0.0027,0.0162,-2,0.0666,0.0666,DOWJONES,RX_BUND,2,0.0274
RX_BUND,CAC40,Bonds,Indices,Inter,-0.1331,0.0243,0.0287,0.0326,0.0662,0.0241,0.0396,-0.0178,0.0429,-0.0091,0.0011,0,-0.1331,0.1331,Contemporain,Contemporain,0,0.0
RX_BUND,FTSE100,Bonds,Indices,Inter,-0.1329,0.0117,0.0379,0.028,0.0589,0.0204,0.0563,0.006,0.0618,0.0045,0.0014,0,-0.1329,0.1329,Contemporain,Contemporain,0,0.0
RX_BUND,DAX,Bonds,Indices,Inter,-0.1268,0.0206,0.0384,0.0333,0.0587,0.0201,0.0308,-0.0074,0.0375,-0.0164,-0.0019,0,-0.1268,0.1268,Contemporain,Contemporain,0,0.0
RX_BUND,SP500,Bonds,Indices,Inter,-0.0232,0.0084,0.0129,0.0286,0.0682,0.0035,0.0313,0.0237,0.0413,0.0027,0.0174,-2,0.0682,0.0682,SP500,RX_BUND,2,0.045
RX_BUND,HANGSENG,Bonds,Indices,Inter,-0.0813,-0.0005,0.0045,0.0027,0.0148,0.0022,0.0069,0.014,0.0556,-0.0058,0.001,0,-0.0813,0.0813,Contemporain,Contemporain,0,0.0
RX_BUND,NIKKEI225,Bonds,Indices,Inter,-0.0574,0.0206,-0.0074,0.032,0.012,0.0183,-0.0553,0.0017,0.0206,-0.0091,-0.0151,0,-0.0574,0.0574,Contemporain,Contemporain,0,0.0
RX_BUND,NASDAQ100,Bonds,Indices,Inter,0.0042,0.0118,0.0114,0.0254,0.0613,0.012,0.0328,0.0255,0.0301,0.0012,0.0103,-2,0.0613,0.0613,NASDAQ100,RX_BUND,2,0.0571
RX_BUND,RUSSELL2000,Bonds,Indices,Inter,-0.0179,0.0064,0.0103,0.0492,0.0553,0.0041,0.019,0.0063,0.0367,-0.0086,0.0008,-2,0.0553,0.0553,RUSSELL2000,RX_BUND,2,0.0374
RX_BUND,EUROSTOXX50,Bonds,Indices,Inter,-0.1395,0.0251,0.0305,0.0361,0.0593,0.0222,0.039,-0.0079,0.0455,-0.0089,-0.0048,0,-0.1395,0.1395,Contemporain,Contemporain,0,0.0
RX_BUND,VIX,Bonds,Indices,Inter,0.0637,-0.0079,-0.0009,-0.0144,-0.0236,0.006,-0.0191,0.0203,-0.0233,0.0058,-0.0202,0,0.0637,0.0637,Contemporain,Contemporain,0,0.0
G_GILT,OAT_FRANCE,Bonds,Bonds,Intra,0.605,-0.0107,0.0086,-0.0078,0.015,0.0618,0.0244,-0.0104,0.0132,-0.0339,0.0063,0,0.605,0.605,Contemporain,Contemporain,0,0.0
G_GILT,ZINC,Bonds,Commodites,Inter,-0.0374,0.0015,-0.0386,0.0159,0.0326,0.0065,0.0383,0.0307,0.0366,0.0084,0.0109,-4,-0.0386,0.0386,ZINC,G_GILT,4,0.0012
G_GILT,LEAD,Bonds,Commodites,Inter,-0.0326,-0.0001,-0.0431,0.0106,0.0185,-0.01,0.0301,0.0014,-0.0103,0.0233,-0.0347,-4,-0.0431,0.0431,LEAD,G_GILT,4,0.0105
G_GILT,AUDJPY,Bonds,FX_G10,Inter,-0.0119,-0.0331,-0.0007,-0.0339,0.0129,0.0116,-0.163,-0.0018,0.0195,-0.0135,0.0146,1,-0.163,0.163,G_GILT,AUDJPY,1,0.1511
G_GILT,AUDUSD,Bonds,FX_G10,Inter,0.0518,-0.0326,-0.0023,-0.0093,0.0225,0.0157,0.0522,-0.0017,0.0326,-0.0036,0.0198,1,0.0522,0.0522,G_GILT,AUDUSD,1,0.0004
G_GILT,BRENT_CRUDE,Bonds,Commodites,Inter,-0.1028,0.0391,-0.0195,-0.0161,0.001,-0.0211,-0.0269,0.008,0.0031,0.0197,0.0165,0,-0.1028,0.1028,Contemporain,Contemporain,0,0.0
G_GILT,WTI_CRUDE,Bonds,Commodites,Inter,-0.0889,0.0212,-0.0088,-0.0263,-0.0021,-0.0244,-0.0216,0.02,0.0056,0.0075,0.0159,0,-0.0889,0.0889,Contemporain,Contemporain,0,0.0
G_GILT,EURCHF,Bonds,FX_G10,Inter,-0.0012,-0.0434,0.0046,-0.0292,0.02,0.0086,-0.0697,0.0023,0.0086,-0.0285,-0.0311,1,-0.0697,0.0697,G_GILT,EURCHF,1,0.0685
G_GILT,EURGBP,Bonds,FX_G10,Inter,-0.0618,0.0548,-0.0612,0.0783,-0.0488,0.0108,0.0742,-0.0016,0.0086,0.0289,0.0491,-3,0.0783,0.0783,EURGBP,G_GILT,3,0.0165
G_GILT,EURJPY,Bonds,FX_G10,Inter,-0.0281,-0.0333,-0.0156,-0.0539,-0.0059,0.0308,-0.2146,0.0128,0.0075,-0.0252,-0.0205,1,-0.2146,0.2146,G_GILT,EURJPY,1,0.1865
G_GILT,EURUSD,Bonds,FX_G10,Inter,0.0505,-0.0315,-0.0208,-0.0229,0.0013,0.0383,0.0609,0.0178,0.0229,-0.0136,-0.0198,1,0.0609,0.0609,G_GILT,EURUSD,1,0.0104
G_GILT,GBPJPY,Bonds,FX_G10,Inter,-0.0096,-0.0412,-0.0106,-0.071,-0.0031,0.0323,-0.2144,0.0002,0.0027,-0.0184,-0.0431,1,-0.2144,0.2144,G_GILT,GBPJPY,1,0.2048
G_GILT,GBPUSD,Bonds,FX_G10,Inter,0.0582,-0.0444,-0.014,-0.0524,0.0047,0.0427,0.0076,0.0016,0.0146,-0.0087,-0.0476,0,0.0582,0.0582,Contemporain,Contemporain,0,0.0
G_GILT,GOLD,Bonds,Commodites,Inter,0.2015,-0.0337,0.0102,0.0272,0.0094,0.0328,0.0036,0.0371,-0.0194,-0.0177,-0.016,0,0.2015,0.2015,Contemporain,Contemporain,0,0.0
G_GILT,COPPER,Bonds,Commodites,Inter,-0.0637,0.0187,-0.0239,0.0069,0.025,0.0229,0.0079,0.0221,-0.0198,-0.0084,-0.0033,0,-0.0637,0.0637,Contemporain,Contemporain,0,0.0
G_GILT,NAT_GAS,Bonds,Commodites,Inter,-0.0086,-0.0318,-0.009,0.0205,0.0003,-0.0336,-0.0021,0.0093,-0.0019,-0.0054,0.0225,-1,-0.0336,0.0336,NAT_GAS,G_GILT,1,0.025
G_GILT,NZDUSD,Bonds,FX_G10,Inter,0.0577,-0.0289,-0.0116,0.0108,0.0219,-0.0048,0.0941,0.0039,0.0473,0.0015,0.0237,1,0.0941,0.0941,G_GILT,NZDUSD,1,0.0364
G_GILT,PLATINUM,Bonds,Commodites,Inter,0.0623,-0.0214,-0.0276,0.0303,0.0206,0.0358,0.008,0.0521,0.0149,-0.0256,-0.0062,0,0.0623,0.0623,Contemporain,Contemporain,0,0.0
G_GILT,SILVER,Bonds,Commodites,Inter,0.1089,-0.0264,-0.0235,0.0065,0.0127,0.0332,0.0182,0.0696,-0.0116,-0.0012,-0.0134,0,0.1089,0.1089,Contemporain,Contemporain,0,0.0
G_GILT,USDCAD,Bonds,FX_G10,Inter,-0.0193,0.0286,0.0121,0.021,0.0064,-0.0304,-0.0042,-0.0122,-0.0315,-0.0128,-0.0143,3,-0.0315,0.0315,G_GILT,USDCAD,3,0.0122
G_GILT,USDCHF,Bonds,FX_G10,Inter,-0.0422,-0.007,0.0198,-0.0054,0.0161,-0.027,-0.1102,-0.0116,-0.0126,-0.0104,-0.0113,1,-0.1102,0.1102,G_GILT,USDCHF,1,0.068
G_GILT,USDJPY,Bonds,FX_G10,Inter,-0.0716,-0.0049,0.0014,-0.0327,-0.0074,-0.005,-0.2679,-0.0038,-0.0107,-0.0139,-0.0033,1,-0.2679,0.2679,G_GILT,USDJPY,1,0.1963
G_GILT,USDNOK,Bonds,FX_G10,Inter,-0.0372,0.0064,0.0007,0.0209,0.0034,-0.0495,0.0442,0.0301,-0.0647,0.0013,0.0032,3,-0.0647,0.0647,G_GILT,USDNOK,3,0.0275
G_GILT,USDSEK,Bonds,FX_G10,Inter,-0.0756,0.0258,0.0266,0.0136,-0.0095,-0.025,-0.0379,-0.0223,-0.0253,0.0147,0.0158,0,-0.0756,0.0756,Contemporain,Contemporain,0,0.0
G_GILT,ASX200,Bonds,Indices,Inter,0.0185,0.0093,-0.002,-0.0171,0.0391,-0.0056,0.0307,0.0496,0.06,-0.0006,-0.0106,3,0.06,0.06,G_GILT,ASX200,3,0.0415
G_GILT,DOWJONES,Bonds,Indices,Inter,-0.0471,0.001,-0.0213,0.0258,0.0346,0.0436,0.0379,0.0367,0.0433,0.0064,-0.0078,0,-0.0471,0.0471,Contemporain,Contemporain,0,0.0
G_GILT,CAC40,Bonds,Indices,Inter,-0.0965,0.0203,-0.0053,0.0039,0.0575,0.036,0.0422,0.0119,0.0349,-0.0031,-0.0288,0,-0.0965,0.0965,Contemporain,Contemporain,0,0.0
G_GILT,FTSE100,Bonds,Indices,Inter,-0.0649,0.0222,0.0043,0.0044,0.0431,0.0284,0.0536,0.0357,0.0411,0.0257,-0.0244,0,-0.0649,0.0649,Contemporain,Contemporain,0,0.0
G_GILT,DAX,Bonds,Indices,Inter,-0.0925,0.0171,0.0011,0.01,0.0549,0.0439,0.0328,0.0273,0.0248,-0.0088,-0.0215,0,-0.0925,0.0925,Contemporain,Contemporain,0,0.0
G_GILT,SP500,Bonds,Indices,Inter,-0.0376,0.0013,-0.0219,0.0268,0.0373,0.0463,0.0364,0.0288,0.059,0.0025,-0.0054,3,0.059,0.059,G_GILT,SP500,3,0.0214
G_GILT,HANGSENG,Bonds,Indices,Inter,-0.0504,0.002,0.002,-0.0502,0.0169,-0.0105,0.0267,0.0441,0.0339,-0.0036,0.0108,0,-0.0504,0.0504,Contemporain,Contemporain,0,0.0
G_GILT,NIKKEI225,Bonds,Indices,Inter,-0.0357,-0.0068,-0.0079,-0.0239,0.0283,0.0125,-0.0436,0.0452,0.0125,0.004,-0.0071,2,0.0452,0.0452,G_GILT,NIKKEI225,2,0.0095
G_GILT,NASDAQ100,Bonds,Indices,Inter,-0.013,0.0036,-0.0161,0.0262,0.0312,0.045,0.0325,0.0178,0.0563,0.0,-0.0035,3,0.0563,0.0563,G_GILT,NASDAQ100,3,0.0433
