sigma,tp,sl,hold,n_trades,mean_ret,win_rate,score
2.5,1.5,2.5,5,426,-0.00191563,0.5023,-0.048806
2.5,1.5,2.0,7,427,-0.00193438,0.5035,-0.048887
1.25,2.5,2.0,10,2296,-0.00215074,0.4503,-0.049189
1.25,3.0,1.0,15,2466,-0.00203848,0.3666,-0.049351
1.25,3.0,1.5,10,2350,-0.00211634,0.4234,-0.049398
1.25,2.0,1.0,20,2650,-0.00188309,0.4011,-0.049476
1.25,3.0,2.5,5,2402,-0.00195033,0.4667,-0.049597
2.5,2.5,1.5,10,425,-0.00218456,0.4235,-0.04975
1.25,3.0,1.5,20,2260,-0.00225163,0.4044,-0.049845
1.5,3.0,1.5,7,1730,-0.00211871,0.4399,-0.050525
1.75,2.5,2.5,20,1080,-0.00264463,0.4574,-0.051026
1.5,3.0,2.5,7,1619,-0.00229561,0.4676,-0.051051
1.75,1.5,2.5,15,1197,-0.00229325,0.528,-0.051335
1.25,2.0,1.0,7,2733,-0.0018501,0.4285,-0.05144
1.25,2.0,2.5,5,2489,-0.00193199,0.4793,-0.051572
2.5,3.0,1.0,5,426,-0.00197973,0.4178,-0.051594
1.25,1.5,1.0,5,2883,-0.0017289,0.4499,-0.051647
1.25,3.0,2.0,15,2153,-0.00244641,0.4255,-0.051683
1.5,1.5,1.0,7,1980,-0.00180447,0.4414,-0.051946
1.25,2.0,1.0,15,2655,-0.00197307,0.4026,-0.05214
2.5,2.5,2.0,10,415,-0.00237841,0.453,-0.052291
1.75,1.5,1.0,10,1335,-0.00193145,0.421,-0.052609
1.25,2.5,1.5,7,2475,-0.00208966,0.4513,-0.052656
1.5,1.5,1.5,20,1870,-0.00207847,0.4818,-0.052673
2.5,2.0,2.5,7,412,-0.00229974,0.483,-0.052752
1.25,2.5,1.5,20,2347,-0.00234028,0.4176,-0.053076
1.25,2.0,2.0,10,2378,-0.0022043,0.4689,-0.053324
1.5,1.5,1.5,7,1905,-0.00199289,0.4861,-0.053436
2.5,2.0,2.0,20,416,-0.00244143,0.4736,-0.053663
1.25,1.5,1.5,5,2742,-0.00190215,0.4814,-0.053666
1.5,1.5,2.5,20,1695,-0.00236012,0.5268,-0.053728
